influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		
0.000000000000000000e+00 9.022966291267383579e-04 1.690489576614935041e+00 5.158090269030658626e-13 6.384203666509031463e-11 8.129168537737722078e-01 0.000000000000000000e+00 1.342341941435100772e+00 1.054750766413160568e-01 1.801769750046974339e-03 2.873505800198064897e+00 1.074883430320873412e+00 0.000000000000000000e+00 1.214593206764897140e-02 1.131235728707523217e-04 4.802148772055002679e-01 1.280545710808584021e-14 1.891806760881204667e-04 0.000000000000000000e+00 9.637484893777884309e+00 2.541510135105780186e-07 1.615741816130175342e-04 7.024043579151262534e-04 8.822516254792072132e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.858819067056868070e-04 1.544112730597262395e+00 5.844840146259328771e-13 2.586629420005034174e-11 6.589618728964947714e-01 0.000000000000000000e+00 1.553878237892777625e-01 1.952083176863980973e-01 3.188808905283141318e-04 2.106475592853035206e+00 1.141017322037289006e+00 0.000000000000000000e+00 1.358491041856569811e-02 4.031667826872306691e-04 3.969259302386141663e-01 2.129180907853306894e-13 5.015163911980516278e-04 0.000000000000000000e+00 9.818626585338467549e+00 1.214094277177438094e-07 4.607378375680315497e-05 9.497301326485807884e-04 9.062861185338096703e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.939915416924818193e-03 1.800637899203142656e+00 6.800062772197394947e-13 9.907523493422060826e-12 9.562792419521308762e-01 0.000000000000000000e+00 6.171347990326460087e-01 7.469385946846612834e-02 3.292241046430440443e-04 2.394307602340425944e+00 1.163108426787013316e+00 0.000000000000000000e+00 5.667054569361555660e-03 3.878655840424050289e-04 1.221179568029966966e-01 8.002802221783582163e-13 3.361677142174845337e-04 0.000000000000000000e+00 9.052048192834813989e+00 3.945131404619613257e-08 3.118773974170380354e-05 5.916292719968707561e-04 9.936559140563327119e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.455812726855007727e-03 1.594356766925506763e+00 1.608053735732789141e-12 2.948735050561455893e-12 9.096228375983861358e-01 0.000000000000000000e+00 7.199784548895831193e-01 1.445238667789350978e-02 1.057026765764166893e-03 2.544119103567006768e+00 9.947590918774592561e-01 0.000000000000000000e+00 9.845764301315475947e-04 4.205800742182824953e-04 2.089960841457105811e-01 3.289238194408532900e-13 1.204948612510531157e-04 0.000000000000000000e+00 8.373320220660673385e+00 3.532123492780770077e-08 2.140513370338201920e-04 1.601032735301634313e-03 9.643626400469475612e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.438989937893911950e-03 1.556745189932235540e+00 4.171173685187858527e-12 1.490743540403897380e-11 3.815311894923285041e-01 0.000000000000000000e+00 7.374902977392920889e-01 1.034526626534099623e-02 3.731030175592748438e-04 2.326010913042179773e+00 1.206565410325005860e+00 0.000000000000000000e+00 6.561097160038460458e-04 2.316609914121306826e-04 1.814709359333664673e-01 3.626073290226464945e-13 7.335381713358560892e-05 0.000000000000000000e+00 9.368453182627366260e+00 1.539951606789021697e-08 3.501709565504184263e-04 1.288757009769613037e-03 9.236162135281773544e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.022709369243243475e-04 1.856082911774150634e+00 9.231089447675565318e-16 5.384667623398093616e-13 8.580363266881089190e-01 0.000000000000000000e+00 5.751603147907462521e-01 9.323205384562912104e-03 5.910560571395402787e-05 2.749132175606769035e+00 7.173620038988780534e-01 0.000000000000000000e+00 6.480898639133087511e-04 3.069851251374738042e-05 1.887638505174786818e-01 3.195798759721472622e-13 9.621561297485557935e-04 0.000000000000000000e+00 9.019514684555954176e+00 2.290837201174613197e-08 8.064802330243714713e-07 7.717873918026680160e-04 7.963626003560024813e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.816281955400038427e-04 2.018960667016548527e+00 6.602446860410757116e-16 1.199179058794547521e-13 5.667190374721960966e-01 0.000000000000000000e+00 1.195305837759787160e+00 2.736310573590256673e-02 1.952784932413546368e-05 2.173065742954348512e+00 7.562626321590735223e-01 0.000000000000000000e+00 1.374500499507968967e-04 5.180200077274706313e-05 5.786491441033621286e-02 4.695992358834097909e-13 5.173801578309559536e-03 0.000000000000000000e+00 9.150168232312035244e+00 1.492153334300789077e-08 2.606654399965267346e-07 1.199180758498074673e-03 8.652138048626934363e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.928694900484253952e-04 1.942963134347824417e+00 1.398050397910301186e-15 2.839700165910511406e-13 8.846656492094274737e-01 0.000000000000000000e+00 7.265470610074952207e-01 1.108992559133149293e-02 7.790529122146284884e-06 2.234225487539120980e+00 9.533985246309379935e-01 0.000000000000000000e+00 2.067430057239301824e-04 4.531845057671234301e-05 4.853556193805872582e-02 5.698122608188806038e-14 1.319830731054183470e-02 0.000000000000000000e+00 9.608007025267799150e+00 6.875726354694930364e-08 2.195971160703373528e-07 1.513998004716551925e-03 8.968623727290061964e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.645942399719736379e-04 2.011752798334073056e+00 2.240521926331272215e-15 2.070588281415392484e-12 4.918611907747166279e-01 0.000000000000000000e+00 9.779363757969219417e-01 3.066066965733027505e-02 3.250755351076399934e-07 1.932868428129176364e+00 7.796471011134304963e-01 0.000000000000000000e+00 3.221027740901862653e-06 4.010968149802239687e-04 4.611050732381154899e-02 3.553779981868488779e-14 7.345674765745913160e-02 0.000000000000000000e+00 9.676977001520599586e+00 1.120712489224823651e-07 1.544206209198171558e-06 1.441136061851091828e-04 7.947842075981938592e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.849856902184634708e-04 1.916050657420680370e+00 5.438970339136287479e-16 4.205109680203012356e-13 9.593989739783576054e-01 0.000000000000000000e+00 1.804193122035981034e+00 4.036996297774930048e-02 2.151538184871169983e-07 2.653892383591802240e+00 9.736441646159492702e-01 0.000000000000000000e+00 3.745304884528160077e-06 1.504748129626849815e-03 4.638858183600146068e-02 1.468243884691032984e-14 1.260657954074452525e-01 0.000000000000000000e+00 9.639624949083071215e+00 1.013150031114929106e-07 1.519886471813200754e-06 1.968057343733083431e-05 6.886143045482961966e+00 0.000000000000000000e+00
