word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	
9.983454856565884938e+00 9.923113282818988523e+00 9.901328398543688181e+00 7.903916985146348217e+00 8.509093410843567185e+00
9.986656313331749857e+00 9.994135919302927107e+00 9.925785070074310212e+00 8.593406843443208487e+00 9.269532291314764194e+00
9.974493902269014001e+00 9.959005658124063132e+00 9.940990173627211490e+00 9.814848277010209898e+00 8.954964703655672764e+00
9.966740306158108353e+00 9.855707286013982937e+00 9.932341271014996309e+00 9.280571400818548256e+00 8.627891840453193240e+00
9.957529146990973246e+00 9.839393374085783961e+00 9.930733686447888786e+00 8.437368478043595132e+00 7.973381317637491250e+00
9.956041601904003002e+00 9.902767018287091716e+00 9.947525443394981792e+00 7.069508711863856654e+00 9.038316104707234899e+00
9.964097241946426209e+00 9.826073109317547960e+00 9.927199000171693655e+00 8.013174024454951194e+00 8.879117576735552575e+00
9.937658550438086991e+00 9.924197141043606507e+00 9.993691488901751185e+00 9.391706364948978703e+00 7.122827830446551545e+00
9.931052725887004939e+00 9.977406410900519163e+00 9.975736353283398472e+00 9.238227670258323698e+00 7.529814271915704182e+00
9.953456279003759732e+00 9.996450404898125086e+00 9.989654698983292391e+00 9.403467797013068008e+00 9.667866475982252794e+00
9.965734239239022685e+00 9.986285927699983134e+00 9.983226164669845915e+00 9.255561535338051371e+00 8.194781882383235683e+00
9.943563849737291349e+00 9.996017539791463236e+00 9.927706687926574958e+00 8.141199246631185105e+00 9.917763320418666595e+00
9.959555100982878884e+00 9.922159049795670427e+00 9.916518950586949543e+00 8.473650378033061870e+00 6.659232903944932502e+00
9.954419889187944293e+00 9.954749846350480880e+00 9.967157834687494500e+00 8.667819681891543837e+00 7.839772343731768345e+00
9.998311572332177377e+00 9.762611172365842194e+00 9.965382801931049528e+00 7.244986505787704978e+00 8.975011178803489642e+00
9.979939750282721178e+00 9.847006968436661012e+00 9.952499824581554577e+00 7.698870495289016347e+00 7.924371698373665396e+00
9.981061446082597044e+00 9.837613240016402472e+00 9.944175508527710150e+00 6.998808864076530689e+00 9.875022352022224226e+00
9.997300863474981369e+00 9.887248941723200346e+00 9.980640575440823170e+00 7.342508745447817731e+00 9.842098083343181258e+00
9.964375372111833329e+00 9.827722366406662857e+00 9.971501568684736583e+00 8.791865991545702030e+00 5.973133381307141221e+00
9.946868368863789556e+00 9.770571639113390106e+00 9.988318500558877489e+00 7.366910258543724055e+00 7.814808892466434287e+00
9.967301648797427305e+00 9.581543644382788827e+00 9.995698934634610566e+00 6.938207005930278726e+00 9.171473259896986363e+00
9.985827102818193524e+00 9.844613767960835204e+00 9.992456059104679156e+00 9.800286123184358544e+00 8.935583884663238052e+00
9.938362698721572741e+00 9.478615616138590383e+00 9.997451295514096614e+00 6.983371795036005025e+00 9.322831489189804088e+00
9.946334090053111865e+00 9.791947276255784871e+00 9.991394261705844215e+00 7.382759798974470655e+00 9.872547094680825808e+00
9.964768483571923241e+00 9.959575043949493889e+00 9.995895720730418432e+00 7.960447653071828000e+00 9.230580446202166556e+00
9.982241404699244924e+00 9.670027579050557875e+00 9.997463242247981441e+00 6.978829306989192460e+00 7.702173348463362323e+00
9.964913344227737113e+00 9.596376873607226798e+00 9.994836976053811384e+00 8.137265533664468364e+00 6.740816578349746457e+00
9.963017003464397447e+00 9.932241686520763224e+00 9.982399898709253705e+00 6.843550105535394223e+00 7.421359829639396999e+00
9.994463385622891494e+00 9.927642628268991132e+00 9.891744397173429348e+00 7.168870259330589967e+00 8.063873118646482041e+00
9.987712159641780829e+00 9.958285274079957006e+00 9.827245538897624755e+00 6.388472819642124989e+00 9.580548234543616815e+00
9.958311028747374394e+00 9.958260334476667808e+00 9.837515769918928399e+00 9.979298899727959693e+00 5.612883730549051542e+00
9.964515278265306364e+00 9.966693192433995208e+00 9.931868124740850234e+00 8.633872263430360405e+00 5.500187798817023577e+00
9.990870487378595399e+00 9.926871654222139796e+00 9.979534070646955968e+00 7.576493719506725455e+00 4.480006143893516146e+00
9.916963769758922354e+00 9.970831074630682522e+00 9.957874183324330275e+00 8.167913173245537450e+00 6.925516846096710033e+00
9.926530076772095867e+00 9.976002132982893400e+00 9.983996156493413210e+00 6.443655054789520165e+00 5.542518173971796358e+00
9.977129070137067401e+00 9.934079713663797051e+00 9.981444166777725613e+00 6.233550061466669234e+00 7.840946516909681030e+00
9.984901665049163100e+00 9.970520810010832236e+00 9.986866535222944208e+00 9.522594343006341333e+00 8.965494437309832421e+00
9.998846312179686890e+00 9.979235290508160716e+00 9.960164649363457912e+00 9.886845375750111131e+00 6.455574779072840386e+00
9.991676678161283576e+00 9.783224067423816450e+00 9.918091223950066038e+00 9.936473716344499607e+00 6.880068182249512887e+00
9.971412064577393153e+00 9.822742212554919305e+00 9.974908787015442257e+00 8.909247579038460430e+00 9.675538573633199135e+00
9.954060952514630856e+00 9.856606320428282331e+00 9.975240174148728656e+00 7.948770592809379920e+00 8.545757481853577531e+00
9.984251135218599416e+00 9.844011803606113276e+00 9.995045644996999101e+00 6.759387670795169889e+00 7.372568827960614968e+00
9.976015349481111016e+00 9.908214074032482443e+00 9.988310885788868276e+00 8.104960431527679532e+00 6.830615723099259462e+00
9.996837508915383808e+00 9.889215478850605479e+00 9.978379532286238529e+00 5.926836137203759236e+00 8.118804702462828260e+00
9.997114713911319228e+00 9.686438319913200701e+00 9.979112895229544478e+00 8.247186552451610808e+00 6.504848202130062873e+00
9.967791581353324659e+00 9.642335353814603494e+00 9.949614148723910034e+00 7.542236087712785420e+00 8.854645473931723743e+00
9.965135900280895243e+00 9.970526139091445472e+00 9.922655922768148784e+00 6.048501596358624610e+00 7.155005334186448351e+00
9.991894230336422211e+00 9.844215737348854134e+00 9.982334684448348483e+00 6.595872459116259634e+00 8.205877298508026385e+00
9.988374530946634522e+00 9.981317571645563547e+00 9.954833110123663786e+00 9.772781981661527340e+00 9.615619880309720813e+00
9.999923328312107174e+00 9.973908491902349738e+00 9.981984095524763845e+00 6.867645907863136223e+00 8.328426596716504093e+00
9.984110225265354188e+00 9.967009546812503729e+00 9.966158697096846097e+00 6.630737779577229318e+00 8.694787484469635785e+00
9.993369635458643430e+00 9.994334659994592585e+00 9.888020473634707486e+00 9.545305511183237002e+00 6.819001406828431477e+00
9.835810451444894298e+00 9.687786262662346104e+00 9.980558453164963595e+00 8.688084327287660003e+00 7.777992344947944225e+00
9.881022257930919039e+00 9.914757406363319703e+00 9.957604519181543878e+00 7.944488297735809113e+00 7.954297080763054417e+00
9.935463312535757652e+00 9.902164923441588940e+00 9.915250283630630435e+00 9.549187113228418511e+00 8.861605578927752802e+00
9.936531391567353211e+00 9.825604600876069128e+00 9.952027879047742331e+00 9.255052089209332422e+00 7.564560000367683834e+00
9.992961432221260765e+00 9.958397004861328838e+00 9.983482117980178927e+00 5.344845377593181013e+00 5.550003517498446115e+00
9.962974657611006535e+00 9.971379063414062216e+00 9.912844826651737051e+00 5.514192922472441083e+00 8.706258495160511757e+00
9.947794661123856130e+00 9.963938245053656217e+00 9.845851575714625881e+00 9.526882327837686404e+00 9.597637737085644716e+00
9.976845060035133272e+00 9.947129035035525035e+00 9.942712853726675348e+00 8.390606769122435082e+00 8.286770126433870232e+00
9.998623366312861194e+00 9.961578148403797073e+00 9.971845566252536486e+00 9.417880832807517422e+00 4.871092500103154421e+00
9.995960779502533811e+00 9.970428174934594878e+00 9.998197107094814129e+00 8.907693629208713659e+00 9.723069973976436131e+00
9.994294088712491586e+00 9.977469191740564014e+00 9.886408258477340283e+00 7.053218945421432906e+00 9.857262948069998032e+00
9.996267529618229730e+00 9.669081827018738196e+00 9.981127784921294932e+00 7.098077931834546384e+00 9.310628283791560378e+00
9.986898804806811469e+00 9.798283791679509136e+00 9.990088273050776735e+00 8.458185956906655534e+00 9.909764787012472098e+00
9.963576994514991014e+00 9.971125242865543470e+00 9.896906413693042026e+00 9.055755301141465097e+00 7.293417449983229162e+00
9.993810771821010519e+00 9.987906773669941174e+00 9.968536270039525249e+00 8.077845454260920377e+00 7.962496730050617089e+00
9.995762143765720253e+00 9.931447359813871500e+00 9.984884102504166137e+00 7.629461108779876710e+00 9.867377881953292018e+00
9.959270328060947364e+00 9.968980992845807521e+00 9.874473010351987767e+00 7.069296541693260494e+00 7.107296960876462677e+00
9.923417499269653774e+00 9.977739925702593382e+00 9.987108584811981160e+00 6.484003064900998758e+00 5.750773363862053067e+00
9.962565475251963676e+00 9.954973774804212638e+00 9.989887009217495617e+00 5.586527098337276342e+00 5.359645721165557042e+00
9.944344010273303169e+00 9.926008128829344912e+00 9.988165066140080484e+00 4.133023997318757914e+00 9.974055647617269926e+00
9.943934218427864735e+00 9.978488391386232337e+00 9.982528151710775788e+00 6.539551390174328738e+00 9.456176743355792169e+00
9.960322335888015743e+00 9.990287480769847406e+00 9.954137651634345829e+00 7.867296706316046162e+00 9.130375572390329708e+00
9.978129465653315933e+00 9.810434621395215160e+00 9.920485409809712607e+00 8.618229404931579296e+00 9.942662423438845209e+00
9.992092609468805620e+00 9.914571585915139096e+00 9.999339046989687674e+00 9.205300847541600717e+00 5.107408915204893596e+00
9.985422325550644018e+00 9.896035129784371165e+00 9.970059329176812923e+00 8.437752664595461027e+00 8.665758991675568623e+00
9.993437003082238590e+00 9.847263991588791399e+00 9.960780387640113531e+00 5.793280779019934101e+00 8.837738252130675320e+00
9.992953171481264718e+00 9.848818375540965064e+00 9.906343199088045282e+00 6.758968685547501742e+00 7.421790206447631988e+00
9.998698519819955166e+00 9.906666712337186098e+00 9.883538540092626334e+00 8.627135393574059563e+00 8.900331314212589717e+00
9.983822801995414054e+00 9.967714341208601780e+00 9.829513193335545296e+00 8.805470548871349834e+00 7.451674449864674088e+00
9.982207554012891393e+00 9.955429403031539337e+00 9.855081670248958758e+00 7.065076184031831019e+00 9.937923389474420333e+00
9.964723693964806728e+00 9.976382976130725666e+00 9.887440651192813235e+00 7.121741653798711269e+00 5.121990803859833186e+00
9.908414146679657364e+00 9.683666633228423137e+00 9.942500284349565121e+00 9.530468970635242343e+00 9.285901765100415872e+00
9.980273350126951826e+00 9.514512535510341706e+00 9.856485801087195853e+00 7.676200888408168943e+00 8.470213671598468608e+00
9.980107346447454120e+00 9.764993682778685624e+00 9.883609847760386202e+00 6.524808609539530124e+00 8.664608611016078044e+00
9.979963510347509725e+00 9.621019230922808418e+00 9.820876471135779440e+00 8.812257851142105025e+00 8.966991021837232623e+00
9.975058696254219370e+00 9.865997981419329932e+00 9.805834206676230735e+00 9.117527474343207317e+00 7.780036614751050017e+00
9.982559236036456340e+00 9.935973677285980799e+00 9.967150965011605024e+00 7.981913903788752762e+00 8.158200766342790899e+00
9.931985413260573381e+00 9.832005184776386741e+00 9.947330456434896107e+00 9.449933997733880986e+00 8.534838855516925449e+00
9.926478240596669167e+00 9.742247769168344007e+00 9.981375498424167603e+00 9.178373204371515826e+00 9.586068311680421061e+00
9.894912358445168366e+00 9.882929478383962518e+00 9.994102403996325990e+00 9.443334824934819238e+00 8.940233142202934857e+00
9.921808128945407645e+00 9.940023006790431381e+00 9.994410789091999092e+00 9.570691605621917120e+00 7.657328952012991685e+00
9.870669086549034077e+00 9.996305600618724085e+00 9.999000322215637837e+00 6.459240765486270242e+00 4.833643558263310602e+00
9.919187492852762134e+00 9.959070085762531832e+00 9.998776074401718006e+00 7.202603963366605910e+00 6.223922815097359340e+00
9.937166378858034221e+00 9.938498033396742315e+00 9.914193156049227795e+00 7.405413620501136052e+00 7.646382652431192639e+00
9.980411414565413253e+00 9.996676571190327820e+00 9.950681591049960417e+00 8.533409060742226160e+00 7.675927075528295340e+00
9.959762517300742246e+00 9.922220627807313065e+00 9.981326930863460234e+00 7.433089194935122102e+00 6.692988199978568531e+00
9.946034638708868059e+00 9.953120524452803153e+00 9.972058941581130043e+00 7.026178000789951028e+00 8.787426111149487795e+00
9.975463367402493731e+00 9.906293625830857152e+00 9.974854715855675735e+00 6.208274362955986447e+00 7.976587187749490049e+00
9.967969979151384052e+00 9.872008181343989719e+00 9.975755300184337315e+00 6.389956294618057697e+00 8.702059651251332184e+00
9.998329958927577366e+00 9.956833440032815119e+00 9.953572700801384343e+00 8.928039612645397582e+00 9.860819056670084848e+00
9.959433446770246334e+00 9.892679206942531778e+00 9.946861910489321446e+00 9.927142852265228967e+00 9.425485496955904097e+00
9.998770095256411139e+00 9.909383674988655244e+00 9.968341013946805163e+00 7.203579508680822308e+00 4.556920697787054664e+00
9.998491081274538672e+00 9.920095415858508403e+00 9.973636010409352437e+00 8.788695809251665381e+00 5.375027465641834645e+00
9.986946680872348381e+00 9.755049817011682833e+00 9.956736355865773547e+00 7.567345723383052558e+00 8.683275587755728608e+00
9.997236177206682228e+00 9.906896434193846801e+00 9.989437088381997398e+00 8.084656316570141499e+00 7.359139992922473894e+00
9.995363598169149100e+00 9.825351860661418968e+00 9.984428296946154191e+00 7.081357521543040434e+00 9.152553483709533921e+00
9.961341075746837248e+00 9.935146793196523163e+00 9.990354055259698995e+00 6.625301711709782992e+00 7.092829020159534537e+00
9.977266202386458005e+00 9.805760908849759261e+00 9.969690276017519892e+00 7.211088587776327330e+00 5.117806208338269158e+00
9.967777614071813730e+00 9.836857507698063330e+00 9.993160472096533908e+00 8.352475560605274296e+00 8.613136560310135081e+00
9.937027666584185681e+00 9.875701380490063741e+00 9.926166156180169509e+00 6.943735234884410801e+00 9.279309728862202178e+00
9.932504765986900352e+00 9.927327718209447482e+00 9.963333419912476785e+00 8.570647489302025690e+00 9.219089153951241400e+00
9.995922451245633056e+00 9.955556013666434723e+00 9.879640385085494358e+00 5.305563935640178030e+00 9.680367949274478079e+00
9.959470818299482886e+00 9.986302213672388461e+00 9.937535848869769595e+00 6.732953218818506613e+00 6.948247002404891681e+00
9.968196476912055459e+00 9.935697738169519511e+00 9.920171212977839659e+00 7.040926843394704093e+00 9.097973373286114551e+00
9.967412711363303757e+00 9.927377472208723574e+00 9.930223805053490338e+00 8.818563663095323690e+00 8.287346267216110007e+00
9.946507186470666895e+00 9.929462875535977062e+00 9.980016516610696442e+00 8.009198679683345645e+00 6.842134863740794160e+00
9.885572578304046232e+00 9.841099525836105144e+00 9.980030823158598352e+00 9.824988979179435589e+00 5.297261889374018651e+00
9.943630185549904965e+00 9.864429013058856555e+00 9.988883986456960073e+00 9.413578716458847140e+00 7.845746466192283108e+00
9.942996147789811445e+00 9.860413316388207505e+00 9.994654375790194223e+00 9.954151133815562602e+00 9.481674475068707864e+00
9.972865654509739386e+00 9.820431075001469168e+00 9.930735651564624789e+00 9.034288518280376934e+00 8.079732245404862567e+00
9.903884860213937102e+00 9.944221347010492096e+00 9.930166052151944811e+00 8.748331633617032921e+00 9.079286289555160039e+00
9.959060859497737894e+00 9.815208293406772810e+00 9.941334551317792645e+00 5.767260523097544223e+00 9.106106247316590796e+00
9.978888181826850001e+00 9.854249184236746117e+00 9.945583655722105121e+00 8.116140997649386790e+00 8.865702045271069309e+00
9.992111210047498915e+00 9.924753197022601725e+00 9.931875113576012382e+00 8.576962549329088858e+00 8.067936064633975946e+00
9.994339701619029626e+00 9.990850994255680462e+00 9.916049435894446873e+00 8.462590364347281735e+00 9.043037117665944535e+00
9.987292467345584512e+00 9.948064952160486030e+00 9.938915446727863312e+00 6.732514884463235205e+00 9.915793518170698206e+00
9.956390471520816021e+00 9.958875829772187771e+00 9.926491416612035934e+00 7.013760508936447202e+00 9.620793641608617719e+00
9.959387711007298805e+00 9.983211274806794933e+00 9.959172377018912670e+00 8.504545814715275043e+00 9.041655106821311350e+00
9.973593989412735894e+00 9.995836076703525919e+00 9.930364044322843142e+00 9.718572379822381535e+00 9.145146885449744190e+00
9.980658369830971210e+00 9.940999641661585784e+00 9.989507284730420267e+00 7.775401762418032270e+00 7.810910056800892676e+00
9.941949472510522412e+00 9.980036902602948956e+00 9.975130191181776240e+00 6.757279620256669617e+00 9.452421963786358461e+00
9.869134037640233004e+00 9.941163108695326045e+00 9.996570684836845189e+00 8.594863442310362700e+00 8.126945854323198049e+00
9.918206988613297526e+00 9.912078268367011447e+00 9.999483142788426093e+00 6.690982434910032417e+00 8.425984463186935614e+00
9.901230217712070569e+00 9.819699887509891312e+00 9.991415110081666384e+00 5.567377509829330329e+00 8.945873104273685428e+00
9.987033958705659131e+00 9.728045681146731738e+00 9.979085341288772781e+00 9.625758823599419145e+00 5.635402629579022715e+00
9.984970598265270780e+00 9.856185366110947754e+00 9.989549051219505316e+00 9.766339784687289693e+00 8.973901008836271842e+00
9.989711519776044213e+00 9.954553321340672056e+00 9.953368053603350418e+00 6.511612312346325204e+00 8.187706800987974987e+00
9.991866815341388985e+00 9.983371940510499698e+00 9.993370968413344713e+00 6.692800186589208167e+00 9.696487555604322850e+00
9.970140113450039365e+00 9.997244352237499854e+00 9.934868394299879668e+00 5.646778075063232372e+00 6.740466146793959723e+00
9.988006942362467555e+00 9.980313805859383436e+00 9.989117604756652113e+00 8.871058578262168481e+00 6.209449337563602178e+00
9.985722807740135210e+00 9.939235355958761176e+00 9.961592179741325381e+00 9.735516048281233736e+00 7.887975451592255993e+00
9.986446849749427201e+00 9.725066355781841310e+00 9.946909068609487647e+00 4.700703329376936246e+00 6.649542159968964583e+00
9.990149398113198131e+00 9.813464794000088531e+00 9.993984939133438772e+00 5.971376429742399239e+00 6.725204607132614143e+00
9.996435420320908705e+00 9.876722792044732913e+00 9.946800640704841712e+00 9.623785311400464337e+00 7.599051311619317239e+00
9.950279308708690706e+00 9.934941747560202430e+00 9.983272025429361207e+00 6.431823654289382297e+00 7.112627209975638465e+00
9.965020976065286362e+00 9.988261563093617568e+00 9.996032937799681051e+00 5.182915818099724348e+00 9.671912673151776829e+00
9.958720242299731851e+00 9.985239903961987906e+00 9.948274276854135678e+00 5.533611128599787321e+00 9.724770685104182633e+00
