log.prior	log.likelihood	log.likelihood.test.set
-1.192636006798820745e+03 -1.724125141313524000e+04 -6.824041180829049154e+02
-1.205123563655843327e+03 -1.723204441331501221e+04 -6.828322523104214952e+02
-1.186019222607081019e+03 -1.724458948845882333e+04 -6.840773653056135117e+02
-1.170134546608758683e+03 -1.725176223499750995e+04 -6.837952226187449014e+02
-1.158959111123020193e+03 -1.726202033051707986e+04 -6.850591787895983771e+02
-1.158086417877118265e+03 -1.725740875239867819e+04 -6.835782825741237048e+02
-1.156044659672108537e+03 -1.725532284966153748e+04 -6.847441216232243733e+02
-1.161654782250291191e+03 -1.724637654300943541e+04 -6.835587613010058021e+02
-1.149786228987020877e+03 -1.725123150924119182e+04 -6.846610223312763992e+02
-1.150822744662988043e+03 -1.724281932022369801e+04 -6.855502386882620840e+02
-1.141961256900686976e+03 -1.724895145922250595e+04 -6.859357212764916767e+02
-1.132628574673782168e+03 -1.725827678492277846e+04 -6.855010287836856833e+02
-1.154395821581555310e+03 -1.724326265960998717e+04 -6.837608653936108567e+02
-1.155710913060501753e+03 -1.723966959941013920e+04 -6.835968974558163609e+02
-1.171868625110381345e+03 -1.724215671535649744e+04 -6.825511472891167841e+02
-1.182513144316222224e+03 -1.725023726452174014e+04 -6.848188628375761482e+02
-1.168137074921387921e+03 -1.725444921500791679e+04 -6.850614345965927896e+02
-1.154587906594369315e+03 -1.725974391699280386e+04 -6.827350719797873353e+02
-1.157637888584930579e+03 -1.725883331361438104e+04 -6.833635382702196921e+02
-1.152063003890434402e+03 -1.725422649457914304e+04 -6.835786017380512476e+02
-1.141432543974435248e+03 -1.724505321956813350e+04 -6.852632279267139666e+02
-1.138027572963736930e+03 -1.725210499528228684e+04 -6.859197418701356810e+02
-1.114052139347033290e+03 -1.727403258436518809e+04 -6.874691056649182883e+02
-1.128013089615774788e+03 -1.726410921781681463e+04 -6.872798863906772340e+02
-1.124299381268321895e+03 -1.726345686021380970e+04 -6.882496546237047141e+02
-1.126361165459722770e+03 -1.726886479838924788e+04 -6.896491983097142793e+02
-1.136418432783837943e+03 -1.726277205464869257e+04 -6.878294379768271938e+02
-1.120242090402473423e+03 -1.726051829761758927e+04 -6.876711068816728130e+02
-1.118385033799503617e+03 -1.725744547307248286e+04 -6.858579150022139856e+02
-1.130991716502741610e+03 -1.725392112888461634e+04 -6.847007856045624976e+02
-1.136550565252972774e+03 -1.725945761234736347e+04 -6.853213305357642184e+02
-1.140115711606437344e+03 -1.724390227871708339e+04 -6.845123182813694029e+02
-1.139723656464110263e+03 -1.725522305380630860e+04 -6.848627451890274642e+02
-1.140513100001820703e+03 -1.725885777310718186e+04 -6.855544575660965165e+02
-1.145540198599760743e+03 -1.726292776106433666e+04 -6.857401508727299415e+02
-1.141006517502612496e+03 -1.727859502168399194e+04 -6.864079891126439179e+02
-1.157803426451097494e+03 -1.727365986756620623e+04 -6.853677677751509236e+02
-1.158449181369569487e+03 -1.726516929649173835e+04 -6.836648223416733572e+02
-1.147901885845131346e+03 -1.725299868107408838e+04 -6.818224740226418135e+02
-1.150396944041784536e+03 -1.725641474544626180e+04 -6.815238327143543984e+02
-1.149180320172873735e+03 -1.724730801969364620e+04 -6.815811729543154343e+02
-1.153914487703496434e+03 -1.724003754541258968e+04 -6.816101549201421221e+02
-1.158040000081078006e+03 -1.722787505037199662e+04 -6.816536321201817827e+02
-1.147357135747132361e+03 -1.724502574811789600e+04 -6.825047778060907149e+02
-1.158974161945125843e+03 -1.724234499737428996e+04 -6.821308751627369702e+02
-1.165330208243157585e+03 -1.724539785385036157e+04 -6.823774294678413526e+02
-1.172234587638378343e+03 -1.724839563287730925e+04 -6.814039574403860797e+02
-1.150369464836682255e+03 -1.725008922811317825e+04 -6.826617561807144057e+02
-1.145036008016947335e+03 -1.725490733729529893e+04 -6.823700334360057695e+02
-1.128364625277577034e+03 -1.725871123094570066e+04 -6.848623941917594493e+02
-1.139501907744798700e+03 -1.724427216715852774e+04 -6.831318267809002691e+02
-1.128328318461583422e+03 -1.724819030403942452e+04 -6.837174465525820324e+02
-1.134902866352216961e+03 -1.723575504545459989e+04 -6.828391638578355014e+02
-1.146716577626821390e+03 -1.723428051839705950e+04 -6.837151744410070933e+02
-1.154404957494262817e+03 -1.723829931806393142e+04 -6.879891825152869842e+02
-1.152790624034694019e+03 -1.725761826350115007e+04 -6.868254302005576619e+02
-1.172344125673913140e+03 -1.725513033665940384e+04 -6.863336790931723499e+02
-1.158316549153043979e+03 -1.724717040035388345e+04 -6.849769845449675358e+02
-1.157527906508083788e+03 -1.723846177144494141e+04 -6.844116293099075392e+02
-1.154928751413315695e+03 -1.725064577258317149e+04 -6.850500255860745256e+02
-1.163246051427647899e+03 -1.725045078363805442e+04 -6.838928125510866494e+02
-1.147160968300905324e+03 -1.725005326774269633e+04 -6.846065129574393495e+02
-1.139563294024950892e+03 -1.724930767278547137e+04 -6.853897831059887267e+02
-1.147605955484409606e+03 -1.724495015221318681e+04 -6.832643076652618674e+02
-1.153923059504656749e+03 -1.725315644402274120e+04 -6.831150886484361990e+02
-1.140013484456294236e+03 -1.725281759762776346e+04 -6.830821491442984552e+02
-1.136375353795951241e+03 -1.725380228943425755e+04 -6.840917696842727764e+02
-1.140373532014018792e+03 -1.724782934832544925e+04 -6.837551552036271687e+02
-1.141190079009748388e+03 -1.724133393734430501e+04 -6.853595073753206179e+02
-1.137669359393589957e+03 -1.724269874774210621e+04 -6.844148441901793376e+02
-1.147290992097708340e+03 -1.723142420232041695e+04 -6.835955070013048953e+02
-1.141189883797493849e+03 -1.723903615636938048e+04 -6.853269427786231063e+02
-1.145334664601575696e+03 -1.723100297405877427e+04 -6.838909400492748318e+02
-1.146671991167235774e+03 -1.722863713465719047e+04 -6.830890129394019823e+02
-1.168325466127532763e+03 -1.722045544410392540e+04 -6.823089335731087886e+02
-1.170162876490705230e+03 -1.722439833062487742e+04 -6.833310654538888684e+02
-1.179694073243697403e+03 -1.722857985251640639e+04 -6.840534429347328569e+02
-1.189807347784513240e+03 -1.722828425197266915e+04 -6.841584206818849907e+02
-1.195068104073597624e+03 -1.722055061554234635e+04 -6.826416193808009893e+02
-1.199797050537274117e+03 -1.722221492808250332e+04 -6.803685529888794008e+02
-1.184489942804184693e+03 -1.724610515817849227e+04 -6.846938025798931449e+02
-1.172399180796616747e+03 -1.723371652475074370e+04 -6.819170604867690599e+02
-1.155363648514753777e+03 -1.724383557209486025e+04 -6.834016682172571109e+02
-1.145342836990783098e+03 -1.724787218997075252e+04 -6.834845996191197628e+02
