word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0176345 0.0152829 0.0144495 0.0144872 0.0136501 0.0099416 0.0300317 0.0255672 0.0092336 0.0099116 0.0093182 0.0080979 0.0102894 0.0235931 0.0270555 0.0101503 0.0102385 0.0088827 0.0107663 0.0091071 0.0093339 0.0272994 0.0079407 0.0123240 0.0090861 0.0198657 0.0108339 0.0171238 0.0094891 0.0094581 0.0081456 0.0080207 0.0124811 0.0083929 0.0085941 0.0089665 0.0103024 0.0278726 0.0087537 0.0081613 0.0097702 0.0088186 0.0103145 0.0096934 0.0084424 0.0091910 0.0103535 0.0084492 0.0082184 0.0088417 0.0089984 0.0094791 0.0089245 0.0078941 0.0085888 0.0103011 0.0085269 0.0196375 0.0078004 0.0099725 0.0087451 0.0094824 0.0087928 0.0088140 0.0087203 0.0159899 0.0076704 0.0083455 0.0080340 0.0095619 0.0079344 0.0110318 0.0081698 0.0081294 0.0079430 0.0180529 0.0099537 0.0093208 0.0090217 0.0087372 0.0079496 0.0095758 0.0075119 0.0075844 0.0093244 0.0096089 0.0079291 0.0079572 0.0081758 0.0095809
0.0108356 0.0099561 0.0112034 0.0103527 0.0111811 0.0105867 0.0112553 0.0106681 0.0107492 0.0111137 0.0112293 0.0111223 0.0112376 0.0106379 0.0113848 0.0111101 0.0113424 0.0111064 0.0111815 0.0111647 0.0111153 0.0109583 0.0107795 0.0104071 0.0106047 0.0107364 0.0113288 0.0111485 0.0113840 0.0112204 0.0111255 0.0110069 0.0107236 0.0107018 0.0172169 0.0168936 0.0117771 0.0110827 0.0112690 0.0111241 0.0113856 0.0111009 0.0115760 0.0107692 0.0111173 0.0111113 0.0112366 0.0113840 0.0110048 0.0110168 0.0111523 0.0109512 0.0108197 0.0109897 0.0109033 0.0108419 0.0108241 0.0108975 0.0108756 0.0110603 0.0110850 0.0108059 0.0107316 0.0107453 0.0111373 0.0109067 0.0106329 0.0107333 0.0110690 0.0109137 0.0107246 0.0107700 0.0108894 0.0106841 0.0111247 0.0111857 0.0113888 0.0111221 0.0108252 0.0112311 0.0107248 0.0109819 0.0110883 0.0103049 0.0106377 0.0111073 0.0108311 0.0106665 0.0107945 0.0111153
0.0251890 0.0286846 0.0139821 0.0113498 0.0101329 0.0096848 0.0238635 0.0108946 0.0097409 0.0174417 0.0142494 0.0088166 0.0100487 0.0078990 0.0095470 0.0103939 0.0091709 0.0159268 0.0102508 0.0135162 0.0137267 0.0113514 0.0122407 0.0104039 0.0235589 0.0121338 0.0112811 0.0110320 0.0146019 0.0099777 0.0079572 0.0104895 0.0119810 0.0130161 0.0072254 0.0072887 0.0087146 0.0075560 0.0097818 0.0100142 0.0082358 0.0083464 0.0110105 0.0166054 0.0079526 0.0089120 0.0099945 0.0100011 0.0131346 0.0109596 0.0134783 0.0124031 0.0122436 0.0084738 0.0110313 0.0080854 0.0102059 0.0097236 0.0089771 0.0121362 0.0102206 0.0140802 0.0081749 0.0074227 0.0095706 0.0088098 0.0083926 0.0105899 0.0080368 0.0078096 0.0092667 0.0108173 0.0129341 0.0134138 0.0093593 0.0104706 0.0135071 0.0111748 0.0113092 0.0121090 0.0102504 0.0080653 0.0085726 0.0083569 0.0082230 0.0092036 0.0072584 0.0074355 0.0106838 0.0074545
0.0108356 0.0099561 0.0112034 0.0103527 0.0111811 0.0105867 0.0112553 0.0106681 0.0107492 0.0111137 0.0112293 0.0111223 0.0112376 0.0106379 0.0113848 0.0111101 0.0113424 0.0111064 0.0111815 0.0111647 0.0111153 0.0109583 0.0107795 0.0104071 0.0106047 0.0107364 0.0113288 0.0111485 0.0113840 0.0112204 0.0111255 0.0110069 0.0107236 0.0107018 0.0172169 0.0168936 0.0117771 0.0110827 0.0112690 0.0111241 0.0113856 0.0111009 0.0115760 0.0107692 0.0111173 0.0111113 0.0112366 0.0113840 0.0110048 0.0110168 0.0111523 0.0109512 0.0108197 0.0109897 0.0109033 0.0108419 0.0108241 0.0108975 0.0108756 0.0110603 0.0110850 0.0108059 0.0107316 0.0107453 0.0111373 0.0109067 0.0106329 0.0107333 0.0110690 0.0109137 0.0107246 0.0107700 0.0108894 0.0106841 0.0111247 0.0111857 0.0113888 0.0111221 0.0108252 0.0112311 0.0107248 0.0109819 0.0110883 0.0103049 0.0106377 0.0111073 0.0108311 0.0106665 0.0107945 0.0111153
0.0175953 0.0159908 0.0144173 0.0144550 0.0136198 0.0099195 0.0299649 0.0262521 0.0092130 0.0098896 0.0092975 0.0080799 0.0102665 0.0235406 0.0269953 0.0101277 0.0102157 0.0088629 0.0107424 0.0090869 0.0093131 0.0272387 0.0079231 0.0122965 0.0098077 0.0198215 0.0108098 0.0170857 0.0094679 0.0094371 0.0081275 0.0080029 0.0124533 0.0083743 0.0085750 0.0089465 0.0102795 0.0278106 0.0087342 0.0081431 0.0097485 0.0087989 0.0102916 0.0096718 0.0084236 0.0091705 0.0103305 0.0084304 0.0082002 0.0088220 0.0089784 0.0094580 0.0089047 0.0078765 0.0085696 0.0102782 0.0085079 0.0195938 0.0077830 0.0099503 0.0087256 0.0094613 0.0087733 0.0087944 0.0087009 0.0159543 0.0076533 0.0083270 0.0080161 0.0095406 0.0079167 0.0110072 0.0081516 0.0081113 0.0079254 0.0180127 0.0099315 0.0093001 0.0090016 0.0087178 0.0079319 0.0095544 0.0074952 0.0075676 0.0093037 0.0095875 0.0079114 0.0079395 0.0081576 0.0095596
0.0108357 0.0099561 0.0112034 0.0103527 0.0111811 0.0105867 0.0112553 0.0106681 0.0107492 0.0111137 0.0112293 0.0111223 0.0112376 0.0106379 0.0113848 0.0111101 0.0113424 0.0111063 0.0111815 0.0111647 0.0111154 0.0109583 0.0107795 0.0104071 0.0106047 0.0107364 0.0113288 0.0111485 0.0113840 0.0112204 0.0111255 0.0110069 0.0107236 0.0107018 0.0172169 0.0168936 0.0117771 0.0110827 0.0112690 0.0111241 0.0113856 0.0111009 0.0115760 0.0107692 0.0111173 0.0111113 0.0112366 0.0113840 0.0110048 0.0110168 0.0111523 0.0109512 0.0108197 0.0109897 0.0109033 0.0108419 0.0108241 0.0108975 0.0108756 0.0110603 0.0110850 0.0108059 0.0107316 0.0107453 0.0111373 0.0109067 0.0106329 0.0107333 0.0110690 0.0109137 0.0107246 0.0107700 0.0108894 0.0106841 0.0111247 0.0111857 0.0113888 0.0111221 0.0108252 0.0112311 0.0107248 0.0109819 0.0110883 0.0103049 0.0106377 0.0111073 0.0108311 0.0106665 0.0107945 0.0111153
0.0175953 0.0159904 0.0144173 0.0144550 0.0136198 0.0099195 0.0299649 0.0262517 0.0092131 0.0098896 0.0092975 0.0080799 0.0102665 0.0235406 0.0269954 0.0101277 0.0102157 0.0088630 0.0107424 0.0090869 0.0093131 0.0272387 0.0079231 0.0122965 0.0098072 0.0198215 0.0108098 0.0170857 0.0094680 0.0094371 0.0081275 0.0080029 0.0124534 0.0083743 0.0085750 0.0089465 0.0102795 0.0278106 0.0087342 0.0081431 0.0097485 0.0087989 0.0102916 0.0096718 0.0084236 0.0091705 0.0103305 0.0084304 0.0082002 0.0088220 0.0089784 0.0094580 0.0089047 0.0078765 0.0085697 0.0102782 0.0085079 0.0195938 0.0077830 0.0099503 0.0087257 0.0094613 0.0087733 0.0087944 0.0087009 0.0159543 0.0076534 0.0083270 0.0080161 0.0095406 0.0079168 0.0110073 0.0081516 0.0081113 0.0079254 0.0180127 0.0099316 0.0093001 0.0090016 0.0087178 0.0079319 0.0095545 0.0074952 0.0075676 0.0093037 0.0095875 0.0079114 0.0079395 0.0081576 0.0095596
0.0348474 0.0422421 0.0151918 0.0106816 0.0115961 0.0101445 0.0224587 0.0112831 0.0091675 0.0164149 0.0144404 0.0082975 0.0125467 0.0084638 0.0099879 0.0097820 0.0106907 0.0160190 0.0096339 0.0127205 0.0139226 0.0106563 0.0115200 0.0097914 0.0221451 0.0113926 0.0105901 0.0134721 0.0137423 0.0093903 0.0074888 0.0098720 0.0112488 0.0122498 0.0068053 0.0068649 0.0092314 0.0071112 0.0092059 0.0094247 0.0077509 0.0078550 0.0103489 0.0156010 0.0074844 0.0083874 0.0104360 0.0094123 0.0123613 0.0103010 0.0137147 0.0127028 0.0115228 0.0079749 0.0103819 0.0076094 0.0096051 0.0091242 0.0084487 0.0134814 0.0096190 0.0132513 0.0076936 0.0069857 0.0089803 0.0082778 0.0078985 0.0099665 0.0075636 0.0073498 0.0087211 0.0111834 0.0121727 0.0126241 0.0088083 0.0108437 0.0136881 0.0105035 0.0127031 0.0113961 0.0096470 0.0075905 0.0080679 0.0078650 0.0087688 0.0096916 0.0068311 0.0069978 0.0100548 0.0070157
0.0309092 0.0321584 0.0168880 0.0134666 0.0147624 0.0092412 0.0279161 0.0251273 0.0099657 0.0099047 0.0093531 0.0075275 0.0123297 0.0219310 0.0251496 0.0094353 0.0095172 0.0103308 0.0100079 0.0091569 0.0100589 0.0260676 0.0073813 0.0121470 0.0104985 0.0191575 0.0107619 0.0159175 0.0102032 0.0087919 0.0082631 0.0074557 0.0122931 0.0091843 0.0079887 0.0083348 0.0095766 0.0259090 0.0081370 0.0075864 0.0090820 0.0081973 0.0102792 0.0090105 0.0078476 0.0085435 0.0096242 0.0078540 0.0076395 0.0089101 0.0097471 0.0095026 0.0089871 0.0080292 0.0079837 0.0095754 0.0079262 0.0182541 0.0072509 0.0099613 0.0095116 0.0095057 0.0081734 0.0081931 0.0081060 0.0148635 0.0071301 0.0077576 0.0074680 0.0088883 0.0073754 0.0102546 0.0089768 0.0082480 0.0073835 0.0167811 0.0099438 0.0086642 0.0090774 0.0088130 0.0073896 0.0089012 0.0069827 0.0070501 0.0086675 0.0096233 0.0073705 0.0073966 0.0075999 0.0089060
0.0707928 0.0830906 0.0233809 0.0149892 0.0177494 0.0169145 0.0068200 0.0138814 0.0177686 0.0095207 0.0102492 0.0123686 0.0174864 0.0128957 0.0134996 0.0072504 0.0113085 0.0130590 0.0108889 0.0096294 0.0133078 0.0097923 0.0084114 0.0121088 0.0126672 0.0100555 0.0131274 0.0083882 0.0108512 0.0065456 0.0124686 0.0076051 0.0121215 0.0110262 0.0051509 0.0051906 0.0095224 0.0057207 0.0087052 0.0064475 0.0083919 0.0080182 0.0110822 0.0077259 0.0099938 0.0055458 0.0082811 0.0087666 0.0076545 0.0122789 0.0103865 0.0099946 0.0084628 0.0095874 0.0059887 0.0073082 0.0058029 0.0084285 0.0084226 0.0100929 0.0106988 0.0074847 0.0105924 0.0085166 0.0114498 0.0084793 0.0071314 0.0071109 0.0063710 0.0073205 0.0059515 0.0083885 0.0097076 0.0081118 0.0073509 0.0082406 0.0112586 0.0080755 0.0094438 0.0076985 0.0064323 0.0070655 0.0059768 0.0058804 0.0081977 0.0095196 0.0101050 0.0099121 0.0058165 0.0067394
