time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	
8.091964169661405037e+01 1.000205405988185845e+02 8.923636511200596999e+01 1.077381130699617700e+02 1.022276589810609551e+02
9.983912429280053402e+01 9.252405317606185520e+01 9.379385853044536248e+01 9.820197869648015399e+01 1.018866580648972757e+02
9.604667192340494353e+01 1.089809447117657726e+02 7.567070635874880224e+01 1.140555959398380992e+02 9.359882843095351745e+01
9.496964141945976223e+01 1.106339512394098676e+02 7.442142859476284400e+01 1.122348384515071587e+02 1.077675369803339436e+02
1.026687277720562008e+02 1.139059390001579004e+02 1.185794986810780500e+02 1.067863286338459261e+02 1.084626334943229153e+02
9.015193642459507828e+01 1.264254530370723728e+02 7.828513570100977859e+01 1.080606913848645974e+02 9.747597163450362245e+01
7.948741739696610864e+01 7.626466709705161406e+01 1.063061619114505021e+02 9.727765344175278983e+01 1.021461483305126023e+02
7.024806033419773144e+01 1.044537673065910326e+02 7.348800045457241481e+01 9.844180246889354180e+01 9.840049118980886078e+01
6.846375752713764484e+01 9.108775979739830575e+01 7.774966544527168821e+01 9.865239916808880594e+01 9.623229834598174648e+01
6.885908093529633334e+01 9.817972293040232046e+01 1.171243528141985593e+02 1.070542907909909331e+02 1.051902716311008703e+02
1.033478946387366051e+02 1.066066553185694374e+02 9.986503121642292058e+01 1.134359124893421722e+02 1.073171311716190672e+02
8.774018202704507985e+01 9.939079064139345121e+01 8.678362195320511319e+01 1.043991650291534654e+02 1.088614012389081154e+02
8.177161664067094193e+01 9.762618898548802804e+01 1.047038681475709296e+02 1.173387951786243519e+02 7.891359675941959040e+01
9.441386770779283211e+01 9.970731045911776391e+01 9.718337438894783986e+01 8.252733446463356870e+01 8.061993520853479822e+01
8.079719327667987727e+01 8.850070220217048700e+01 9.272534758570452595e+01 9.959473654096464657e+01 1.214007421256375210e+02
9.148097361180690257e+01 8.039141655341634873e+01 8.182897071952146462e+01 8.597934555918808996e+01 9.789482517221682656e+01
1.023726311342283708e+02 1.028403404552805398e+02 9.504574947509536287e+01 9.462204105051549163e+01 1.096761408695347910e+02
9.872732230105754070e+01 9.641771239650769587e+01 7.639937777854223100e+01 9.743264234722860806e+01 1.138591577573748737e+02
1.117303288351257464e+02 8.427222891518108838e+01 7.700366772183127750e+01 1.080206196387210014e+02 1.063350445141259115e+02
1.141100324730588795e+02 9.025761088264923160e+01 7.317751154239076072e+01 1.047325851714911238e+02 7.936572340150016203e+01
1.040645235135878153e+02 9.379067765812354196e+01 8.763382838383067508e+01 1.199728956382938918e+02 9.286591904974825695e+01
7.969350665153135083e+01 9.689042231943044214e+01 8.767343991105749978e+01 1.219065764904165974e+02 1.165873241074026225e+02
9.686586563436071629e+01 1.020839299578564408e+02 1.021972405620609265e+02 1.207406590592591726e+02 1.084272616604952049e+02
8.656336859943563411e+01 1.050266964543634458e+02 9.324157273909349897e+01 1.152112934946370046e+02 1.037268124589057834e+02
8.499600938508218917e+01 1.009379193998050113e+02 9.314238221457799227e+01 9.650686969179150765e+01 9.345762191202911140e+01
7.510171648799494903e+01 8.323020759995897322e+01 8.726173277597943923e+01 1.126194004382475100e+02 9.178316069208075589e+01
8.402776361936393812e+01 8.644747031672697801e+01 8.929457088681988353e+01 1.176658410653132592e+02 8.446277401161145804e+01
1.076304115011911762e+02 9.317914246389317157e+01 8.660119045207906652e+01 8.307930381357984118e+01 1.142854469146400476e+02
8.527268989605725835e+01 1.003966491535614267e+02 9.335158773301137103e+01 8.929866147126965359e+01 1.119247311864607752e+02
8.243573629745986864e+01 9.955228277137265991e+01 9.280653562630882902e+01 1.021349264443798575e+02 9.540385639442433785e+01
8.375820331802810870e+01 8.943937832586837544e+01 8.661407620940306629e+01 1.140053406156183087e+02 9.980634800171617371e+01
9.140019787086424685e+01 9.247762564117131490e+01 9.639400474306397371e+01 1.150430538777732039e+02 1.032932952559755080e+02
8.893680945885361666e+01 9.901842529559691286e+01 8.167935149411522389e+01 1.133902811562029598e+02 1.073974417907304542e+02
1.001453445351801292e+02 1.037592497830084710e+02 7.921883273173638429e+01 1.009388343293592243e+02 1.134004336079444641e+02
9.655775684480295240e+01 8.254286606792138059e+01 8.563980782514776990e+01 1.000074744183614683e+02 1.148561914324678810e+02
9.421900381337985664e+01 1.040415270001677897e+02 8.360950971209598492e+01 1.066060876572810514e+02 1.233679409213161904e+02
9.256394860295780802e+01 1.165290682004524285e+02 9.929371919887570641e+01 9.464814819647502020e+01 1.261977922221344670e+02
9.013683127934302775e+01 8.457007202990303085e+01 1.129339937352225149e+02 1.038269674011738317e+02 1.196489529611525455e+02
8.280113017487954608e+01 1.017994882155364564e+02 9.041403366579621093e+01 1.116161579897168252e+02 8.161163630568447047e+01
8.389235266215844433e+01 1.091133879885419162e+02 9.346204981150498270e+01 9.415346963195935359e+01 8.027427981524621714e+01
9.579631332807538513e+01 1.192544322101030048e+02 9.315777054069855012e+01 1.205482370649820609e+02 8.485966561267677832e+01
9.524385895948819325e+01 1.067222564746129052e+02 1.082686404812610022e+02 9.668888602774904939e+01 1.111172794235649093e+02
8.727613031204492700e+01 8.139471758261845480e+01 1.002315609956784499e+02 9.973798445670516344e+01 1.044031823133144599e+02
9.555102809777415018e+01 8.485913769442029775e+01 9.865651877146981974e+01 9.216022806445491256e+01 1.026373357846465240e+02
9.173212051658964583e+01 8.392293396951527029e+01 1.054505648578614512e+02 9.370607588045301384e+01 1.074460631167903983e+02
8.210014629958503463e+01 8.452788209557519394e+01 8.145529526670571840e+01 1.037777871448882365e+02 9.685878710055001761e+01
7.724599325018209584e+01 7.803915100488714529e+01 8.724951355844596890e+01 1.067263651174044412e+02 1.013828810565187268e+02
8.513507746469142035e+01 7.279353803590255723e+01 9.361742122742012384e+01 1.071885773468162313e+02 9.684593526682334641e+01
8.228493368149445075e+01 9.187930705737340986e+01 9.162529730361373481e+01 1.027143283039975046e+02 1.063910197057784615e+02
1.025492646014072875e+02 8.919197397147547690e+01 8.904862381143743733e+01 1.058986852584456244e+02 1.048723790216642300e+02
9.295662802438806693e+01 1.060787020257868392e+02 1.014804885070006861e+02 1.004187460035408321e+02 1.040870990116585801e+02
1.088204439670811894e+02 1.035391462974704524e+02 9.875799520915745688e+01 1.130099784687777316e+02 1.175158930643907809e+02
9.470459363077945625e+01 9.611077008371256625e+01 8.850509065671559483e+01 1.112947230453827387e+02 1.038122548002084926e+02
9.484158755317760381e+01 1.034245958656715629e+02 8.788878925056889102e+01 1.102007617250766174e+02 9.917147002913959852e+01
8.826213433178423884e+01 1.013790498165892160e+02 8.764908202784178570e+01 9.826622577749071752e+01 1.057672750326847080e+02
8.546424103720150356e+01 8.899748876310161450e+01 8.910777498815821218e+01 1.091680814487074684e+02 9.904220863950219211e+01
8.438019569534164077e+01 9.794257716419100745e+01 9.786635389938660978e+01 1.175552087828017704e+02 9.254304841674172621e+01
8.719960476927663251e+01 8.000563152489627328e+01 8.929286840022653848e+01 1.203772472474727806e+02 1.060708749916724685e+02
9.530981005531253913e+01 9.777453138948493461e+01 9.121981284620120789e+01 9.636656044637824436e+01 9.884066201782718508e+01
1.004135474681096412e+02 9.342519559733476342e+01 9.584548143576819257e+01 1.020051528486148413e+02 1.243874084653974990e+02
9.737469241392767572e+01 1.004718793549518807e+02 9.016676866649953581e+01 1.047979918637542198e+02 1.225876095229920111e+02
8.718120918280506260e+01 1.002538397067093712e+02 9.817592604332348571e+01 1.035570944307382035e+02 1.223892126425174496e+02
9.269727284596874028e+01 9.007081669492295362e+01 9.022028684378925334e+01 1.111928141123258342e+02 1.097918799956135416e+02
9.169280752291470549e+01 1.073568394727772102e+02 9.999520645163332233e+01 9.454044380421332505e+01 1.127581016760158406e+02
8.270754670575706768e+01 9.520970731253110841e+01 7.801407674813241044e+01 1.140448361492728679e+02 8.442904760440859491e+01
9.793270290073863293e+01 9.147407385170809846e+01 9.585408704731565877e+01 1.091076103808259035e+02 9.589450221752625225e+01
8.469520241962955254e+01 9.767579697638961989e+01 9.772072369606848952e+01 1.071174554927329865e+02 1.160845435884305630e+02
8.416852966051519047e+01 9.173173370593175946e+01 8.507465074145704875e+01 1.021244644021819425e+02 9.960052546071003121e+01
8.672861362831596921e+01 8.394254420829008723e+01 8.627534874747095728e+01 7.916792487856072569e+01 8.886776858545496793e+01
8.627698255091557655e+01 1.108375861805877207e+02 1.093834064673864788e+02 7.961319604571514219e+01 1.157675676159080354e+02
7.619757571761832082e+01 8.571657973687034371e+01 8.220658187374598924e+01 1.016436497833393275e+02 1.162298545918308434e+02
8.190952816151977345e+01 8.874250366429453152e+01 8.951619498583364987e+01 9.430254324055553639e+01 1.203679170808209733e+02
8.488883789104860966e+01 8.639921432185434469e+01 9.828697828586838625e+01 9.344658291082920698e+01 1.158318675149974979e+02
1.015867379779550674e+02 8.982514957083733975e+01 9.865234750307240574e+01 1.182896882492848079e+02 9.166429913227958082e+01
9.098563574432593271e+01 8.967929853948018604e+01 9.881681513045009524e+01 8.889672227754404332e+01 1.062212147828353039e+02
8.919440682476148652e+01 9.534181023620152473e+01 1.030740827443363514e+02 8.901600686036147181e+01 9.737179906118868189e+01
9.193059820790195147e+01 9.680782665439119228e+01 8.968963105145964221e+01 1.166793092684072803e+02 1.006327355092756477e+02
9.345412078029033864e+01 1.008514279776559448e+02 9.371532886463208456e+01 9.536234131981207440e+01 1.079927664637601481e+02
8.923778675872087263e+01 1.048631886109349978e+02 9.116231762838320662e+01 1.067795609851635277e+02 1.121958429051303483e+02
1.002556269624181056e+02 8.720182107695002571e+01 9.032223025974454345e+01 1.020161726028847085e+02 1.173716121640332517e+02
1.013679111016663938e+02 9.013480417355378904e+01 7.496253361896218337e+01 9.712133051759491309e+01 1.110480171129478890e+02
8.748215386475992261e+01 9.794541374137274659e+01 8.501122816858872966e+01 1.062261238594466874e+02 9.604968037973804940e+01
8.695913572707807759e+01 9.286957376211336168e+01 8.233083279149605005e+01 1.147665105392975988e+02 1.072709345618335988e+02
9.611249768830143125e+01 9.965504499950378658e+01 1.011375851806318025e+02 1.125789748708598097e+02 1.018091053249541460e+02
9.085109045452995247e+01 9.143079966692680216e+01 1.034298254674623081e+02 1.026191933876398537e+02 1.011925569952519481e+02
9.316389745002823020e+01 8.968127591536958221e+01 8.754816039323675625e+01 9.545465939983024839e+01 1.006846411712836726e+02
9.142338205766699843e+01 8.924887002940022285e+01 8.930633945455961964e+01 9.551179614675425000e+01 1.024381075991877026e+02
8.575895282817037923e+01 9.203551912982624117e+01 8.059446844996818982e+01 1.170787556607132558e+02 1.076275106489626125e+02
9.490487183497644708e+01 1.058885489767627206e+02 8.051431571820981503e+01 1.127723487498090407e+02 1.151422728145565344e+02
8.263834174308352942e+01 9.194304058192452089e+01 8.249434198358667913e+01 9.984844042305589085e+01 9.199758983448749916e+01
8.846326303486306131e+01 1.064385432354473835e+02 9.787397798719293007e+01 9.975448966794684225e+01 9.573361816352002052e+01
8.576064909717382534e+01 1.051126306251148748e+02 1.045200449610805151e+02 1.031000597178810807e+02 9.583808112913072819e+01
9.050132807832525828e+01 9.935745272685461771e+01 9.700241909997966161e+01 1.037684287135448358e+02 9.633710483636836841e+01
9.032255732672305726e+01 7.875075200138377340e+01 8.605340518575485476e+01 1.074549579868659777e+02 9.685827866105368855e+01
8.553830964351067223e+01 1.031864883484645361e+02 9.821559137709078868e+01 9.921227231174381700e+01 9.611469910077805423e+01
9.361508916275916192e+01 9.390948724712589524e+01 9.737505307311985803e+01 1.067714518079719426e+02 1.196543463261098026e+02
9.184609366377125639e+01 9.204913125888603531e+01 8.849119885788958584e+01 1.149427886076794607e+02 1.174890686276489760e+02
7.919161867638338492e+01 1.000007626724674878e+02 1.019130604454401663e+02 1.179534124817808163e+02 8.946025678113582558e+01
8.564355316336173018e+01 7.687019497817169622e+01 7.799227390984374608e+01 9.960950238922987410e+01 1.068995103765812615e+02
7.525309360869438535e+01 8.784107564985794170e+01 1.069423275353988743e+02 9.431204456902781885e+01 1.177072821148431103e+02
9.512306995504982865e+01 9.645267026343020689e+01 7.763924753918018951e+01 9.980590959703016551e+01 1.132357792141237951e+02
9.460361780318295644e+01 9.903306248285197455e+01 8.583020138979361491e+01 9.550560259386361395e+01 1.240482108608401006e+02
7.507259840800486472e+01 9.777945446407719032e+01 8.375088207152583664e+01 9.013351356949894466e+01 1.290205522559082283e+02
7.513122860996401187e+01 8.422395246977052352e+01 9.656237072427791190e+01 9.814115187376189908e+01 1.058763993143240043e+02
8.114782476382406173e+01 9.935200277983926753e+01 9.191954911192914324e+01 9.204717912560651882e+01 9.491307742647668988e+01
1.057252362742619596e+02 8.408736415512348117e+01 9.238869000180103797e+01 9.489019982239665296e+01 1.107076142716904172e+02
8.330620477202555207e+01 8.548429742536728781e+01 1.016800168072705759e+02 9.746076510326739140e+01 1.025961479963633423e+02
8.431370055677980702e+01 1.018172861102334537e+02 1.063023810080990188e+02 1.082897576637568164e+02 1.097392113204912505e+02
8.977963265936064374e+01 9.484740478307185185e+01 7.767708808466247206e+01 1.168722620056314554e+02 1.066255020628794625e+02
8.314972760513678907e+01 9.454849158348102378e+01 9.227548175424232113e+01 9.973810797566773090e+01 1.103743922029866411e+02
8.349348194805759249e+01 9.402134092419859712e+01 9.587165715533100752e+01 1.045806231578242773e+02 1.109958743420618532e+02
8.688477479594780561e+01 1.225497167555271005e+02 8.635573230728554961e+01 1.002909066148154125e+02 1.041617738248026939e+02
8.836941228143255955e+01 1.213256476264314188e+02 9.154790161753226130e+01 1.223425728971846098e+02 1.110876245974050249e+02
9.373277698570929317e+01 1.130518557691009391e+02 9.189322035660751453e+01 1.210819972409013872e+02 1.010944783565304306e+02
9.375328724321059326e+01 1.165569051033194512e+02 8.863020185984524346e+01 1.218101072944562304e+02 1.064160415641633222e+02
1.066095046389130658e+02 1.177176367715115362e+02 9.282838165096467264e+01 1.244856576167874920e+02 1.072606924019634391e+02
9.365000957159088557e+01 1.089697527775327472e+02 9.007550721637359459e+01 1.220114574717726583e+02 8.781771240891639252e+01
8.230451406694346872e+01 1.023698923572409001e+02 8.701790493766826273e+01 1.065901178985470068e+02 8.832541997093618136e+01
8.890887050542191616e+01 9.259500350288061554e+01 8.772824040303422066e+01 1.169843071105537149e+02 1.175955201332136539e+02
1.097247565798450495e+02 1.044582208453267356e+02 7.455458929036235816e+01 1.196713170052200468e+02 1.123290396715561883e+02
1.036214450535519518e+02 1.030465051153578884e+02 9.947640546841711284e+01 1.004283960397050492e+02 1.103077810656574798e+02
1.088530007180522716e+02 9.226740478930084066e+01 9.533211777376040175e+01 9.624854767877062045e+01 1.053965882324663852e+02
9.369331903515485749e+01 8.173706800710351672e+01 9.472541375409949183e+01 9.492073998532110579e+01 8.881521909438498597e+01
8.214796696443821133e+01 1.086326781860998807e+02 9.920265588208165752e+01 9.795026529196437082e+01 1.087066519563698392e+02
7.116580197732909596e+01 8.198687746478567817e+01 7.788935144009263922e+01 1.046428852788822041e+02 1.090626691073657923e+02
8.762148209027924395e+01 8.284400661238476005e+01 9.206736007521537601e+01 9.668270522560131042e+01 9.401567551783634258e+01
1.008629125838349978e+02 9.694241269178668574e+01 9.615984821238153302e+01 1.048509108089686350e+02 1.111514016364295117e+02
1.010534713910758882e+02 1.016634747989469361e+02 8.956015549659268515e+01 1.030882114894081525e+02 1.141567255436510209e+02
1.051186610851231933e+02 8.935248227972600432e+01 1.071060169192385416e+02 1.128820094063753885e+02 1.274295534296541774e+02
7.401378917817919501e+01 1.026622605991932176e+02 1.001959480519539341e+02 9.466629703587439337e+01 9.781878664529499190e+01
1.008502209943660830e+02 8.708334177777545904e+01 7.938599603751924860e+01 1.025868346737655230e+02 1.090451223361230575e+02
7.564405361268707395e+01 8.463483172989124625e+01 7.479131379165110616e+01 9.820170900137158299e+01 9.425358591800060992e+01
7.595918410378752128e+01 8.904007388563857717e+01 9.909339326726919239e+01 9.157823797393480447e+01 1.014535149989077496e+02
8.258816212105102750e+01 8.217758271075076948e+01 9.365829177168468789e+01 9.429807441006457225e+01 1.166686113990313629e+02
8.610642341090370167e+01 7.305406289590253266e+01 8.655107145478430652e+01 1.034236192343360017e+02 9.630415341734307333e+01
9.016458630730269874e+01 1.244965648433133509e+02 1.015512581726608374e+02 1.091813560124912641e+02 1.045710336832726313e+02
9.922821229268980403e+01 9.461543746556316137e+01 8.687122356057355432e+01 9.678319667943414117e+01 1.142454386913436934e+02
9.078717085644086637e+01 1.071154662422819399e+02 9.314800627410957645e+01 1.185659229923197415e+02 1.166881752895491786e+02
1.010048019902805549e+02 1.042180505945669751e+02 8.031167604060598819e+01 1.292385148641184855e+02 9.938402764224554176e+01
9.511712675685085117e+01 1.048875356475316494e+02 7.617988265338939868e+01 1.247908206300160998e+02 1.097230933971306399e+02
7.742233766274502216e+01 9.656652423314594103e+01 7.555551444649661619e+01 8.986783670896012666e+01 1.070361121115403620e+02
1.049965869635773856e+02 1.004326694200790087e+02 9.676160759719563487e+01 9.838955377371451050e+01 1.100334988352274763e+02
1.027049181508477602e+02 9.585175760439477699e+01 8.079243315524986713e+01 1.081330817029476208e+02 1.135635686587561395e+02
8.442434677069852000e+01 1.101801088000653976e+02 7.818330879125014121e+01 1.089603355643771891e+02 1.223474673201946388e+02
8.156374800007924364e+01 8.157302849811989631e+01 1.119558305023728337e+02 8.783195651339619303e+01 1.129389255452759215e+02
8.871410962487054519e+01 7.793837820068469568e+01 1.171497359193616319e+02 9.391919470301705530e+01 1.038867089147801721e+02
9.758364800247105109e+01 9.579665109932426503e+01 9.740141430535783229e+01 1.050680950824280728e+02 9.376348567772802767e+01
8.495366385468949488e+01 8.503293847630389735e+01 8.772208718862502508e+01 1.034052317039872122e+02 8.952625514442439680e+01
9.121501541628859400e+01 7.474040009368124515e+01 9.228341796938092045e+01 1.152277202880291185e+02 9.433966303338418413e+01
8.857480031487148153e+01 9.624844642049097843e+01 9.434626874391221918e+01 1.182949078596084433e+02 9.229292398110101203e+01
9.685852315207792174e+01 9.674469472532177861e+01 8.631552995825053642e+01 1.079412234161759727e+02 8.583461611194495333e+01
9.479397631877291985e+01 1.114093102221691822e+02 8.684674780863754506e+01 1.052350130478810684e+02 9.639556159734864593e+01
6.804261839255394761e+01 9.407841577448135695e+01 8.035251137137919386e+01 9.775604997500670379e+01 1.035613525418077927e+02
7.312315825371199196e+01 1.033939164089146914e+02 9.948426281041197683e+01 1.045799762172082410e+02 1.084793401711925611e+02
7.600311431483329727e+01 9.953497863331710960e+01 1.018786637843698344e+02 9.327458862317841692e+01 1.129228570913224132e+02
1.074501792869007772e+02 9.573844677494287225e+01 9.435275196974234291e+01 9.935928339487423955e+01 1.200119841927712514e+02
8.423093408089123102e+01 9.763359060574023829e+01 8.107059655774489215e+01 9.527630481156727171e+01 1.134844479687187118e+02
8.766543599485589766e+01 1.055932335512822391e+02 7.890826390622551401e+01 9.706290080009651433e+01 8.916580913739883840e+01
9.657901989151926614e+01 1.038114541379604532e+02 8.609901915738292644e+01 1.106563688744052030e+02 1.043119810563373164e+02
9.613817618936765541e+01 1.047374218869211120e+02 8.082656211082009179e+01 1.030655327654751687e+02 8.993103097739660257e+01
9.301119779723828174e+01 1.046586648259355741e+02 8.401940841463900256e+01 9.517635237363344913e+01 1.178707825445578550e+02
1.038740561085760135e+02 9.176778846273869306e+01 9.149821827325348522e+01 1.017936779095797135e+02 8.820968963281660535e+01
1.072727743337051720e+02 8.595204420863201733e+01 9.063451549206243385e+01 1.016378659256313455e+02 8.436247719333420036e+01
8.822722303289808110e+01 1.086758255221872673e+02 1.032318526299504242e+02 1.049394026701738198e+02 1.197542253135121371e+02
8.909702179623555196e+01 1.143476904969027146e+02 9.895115456286048072e+01 1.081364348436675584e+02 1.191972923896748000e+02
8.418203434492647830e+01 8.969383615870461313e+01 9.223830256007279615e+01 1.000360431455282821e+02 1.116153308538254549e+02
